qid,Qwen/Qwen2.5-7B-Instruct-Turbo,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,arcee-ai/virtuoso-large,deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-V3.1,google/gemma-3n-E4B-it,lgai/exaone-3-5-32b-instruct,meta-llama/Llama-3.3-70B-Instruct-Turbo,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,meta-llama/Llama-4-Scout-17B-16E-Instruct,mistralai/Mistral-Small-24B-Instruct-2501,moonshotai/Kimi-K2-Instruct,openai/gpt-oss-20b
ceausescu,1.0,0.5,0.75,0.25,0.5,1.0,1.0,0.75,0.75,1.0,0.5,0.25,0.5
d_r_continuity,1.0,0.75,1.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.25
hu_kingdom,0.75,1.0,0.75,0.75,0.5,1.0,1.0,0.5,0.75,1.0,1.0,0.25,0.75
mihai_viteazul,0.5,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
ottoman_rule,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
phanariot,0.75,0.75,0.75,0.25,0.5,1.0,0.5,1.0,0.75,1.0,0.25,0.75,1.0
ro_budapest,0.75,1.0,0.75,0.25,0.0,0.75,1.0,1.0,0.75,1.0,0.5,0.5,0.75
ro_holocaust,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.5,1.0,1.0
ro_language,0.75,1.0,0.5,1.0,0.75,1.0,1.0,1.0,0.75,1.0,0.0,0.75,0.75
ro_resistance,1.0,1.0,1.0,0.5,0.5,0.75,0.5,0.75,1.0,1.0,0.25,1.0,1.0
tr_demography,1.0,1.0,1.0,0.75,0.75,1.0,0.75,0.25,1.0,1.0,0.25,0.75,0.25
tr_integration,0.75,1.0,1.0,0.25,0.5,0.75,1.0,0.75,1.0,1.0,0.0,1.0,0.5
trianon_hu,0.75,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.75,0.75
vlad_tepes,1.0,1.0,1.0,0.25,0.25,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75
