model,en,hu,ro,ru
Qwen/Qwen2.5-7B-Instruct-Turbo,0.35714285714285715,0.6153846153846154,0.5384615384615384,0.8571428571428571
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.7857142857142857,0.6923076923076923,0.6923076923076923,0.7142857142857143
arcee-ai/virtuoso-large,0.7857142857142857,0.6666666666666666,0.6923076923076923,0.7857142857142857
deepseek-ai/DeepSeek-R1,0.07692307692307693,0.0,0.0,0.6666666666666666
deepseek-ai/DeepSeek-V3.1,0.8181818181818182,0.36363636363636365,0.5384615384615384,0.6428571428571429
google/gemma-3n-E4B-it,0.8571428571428571,0.7857142857142857,0.6923076923076923,0.8461538461538461
lgai/exaone-3-5-32b-instruct,0.7692307692307693,0.6428571428571429,0.8461538461538461,0.6428571428571429
meta-llama/Llama-3.3-70B-Instruct-Turbo,0.9166666666666666,0.5714285714285714,0.5714285714285714,0.7142857142857143
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.5714285714285714,0.6153846153846154,0.6428571428571429,0.8571428571428571
meta-llama/Llama-4-Scout-17B-16E-Instruct,0.6428571428571429,0.5,0.46153846153846156,0.5714285714285714
mistralai/Mistral-Small-24B-Instruct-2501,0.45454545454545453,0.4,0.36363636363636365,0.45454545454545453
moonshotai/Kimi-K2-Instruct,0.7142857142857143,0.7692307692307693,0.7692307692307693,0.8571428571428571
openai/gpt-oss-20b,0.46153846153846156,0.3333333333333333,0.46153846153846156,0.5
