model,stability,total_questions
DeepSeek-R1,0.14285714285714285,14
DeepSeek-V3.1,0.21428571428571427,14
Kimi-K2-Instruct,0.14285714285714285,14
Llama-3.3-70B-Instruct-Turbo,0.5714285714285714,14
Llama-4-Maverick-17B-128E-Instruct-FP8,0.6428571428571429,14
Llama-4-Scout-17B-16E-Instruct,0.5,14
Mistral-Small-24B-Instruct-2501,0.21428571428571427,14
Qwen2.5-7B-Instruct-Turbo,0.21428571428571427,14
Qwen3-235B-A22B-Instruct-2507-tput,0.35714285714285715,14
exaone-3-5-32b-instruct,0.5,14
gemma-3n-E4B-it,0.35714285714285715,14
gpt-oss-20b,0.21428571428571427,14
virtuoso-large,0.5714285714285714,14
