language,model,accord_rate,n
en,DeepSeek-R1,0.7942857142857143,350
en,DeepSeek-V3.1,0.6685714285714286,350
en,Kimi-K2-Instruct,0.8028571428571428,350
en,Llama-3.3-70B-Instruct-Turbo,0.8285714285714286,350
en,Llama-4-Maverick-17B-128E-Instruct-FP8,0.7542857142857143,350
en,Llama-4-Scout-17B-16E-Instruct,0.9571428571428572,350
en,Mistral-Small-24B-Instruct-2501,0.7057142857142857,350
en,Qwen2.5-7B-Instruct-Turbo,0.6,350
en,Qwen3-235B-A22B-Instruct-2507-tput,0.8428571428571429,350
en,exaone-3-5-32b-instruct,0.8428571428571429,350
en,gemma-3n-E4B-it,0.9428571428571428,350
en,gpt-oss-20b,0.8285714285714286,350
en,virtuoso-large,0.8571428571428571,350
hu,DeepSeek-R1,0.6852941176470588,340
hu,DeepSeek-V3.1,0.6371428571428571,350
hu,Kimi-K2-Instruct,0.8457142857142858,350
hu,Llama-3.3-70B-Instruct-Turbo,0.66,350
hu,Llama-4-Maverick-17B-128E-Instruct-FP8,0.8857142857142857,350
hu,Llama-4-Scout-17B-16E-Instruct,0.8428571428571429,350
hu,Mistral-Small-24B-Instruct-2501,0.5971014492753624,345
hu,Qwen2.5-7B-Instruct-Turbo,0.7142857142857143,350
hu,Qwen3-235B-A22B-Instruct-2507-tput,0.9428571428571428,350
hu,exaone-3-5-32b-instruct,0.7742857142857142,350
hu,gemma-3n-E4B-it,0.8228571428571428,350
hu,gpt-oss-20b,0.7275362318840579,345
hu,virtuoso-large,0.7657142857142857,350
ro,DeepSeek-R1,0.6119402985074627,335
ro,DeepSeek-V3.1,0.7217391304347827,345
ro,Kimi-K2-Instruct,0.8514285714285714,350
ro,Llama-3.3-70B-Instruct-Turbo,0.7714285714285715,350
ro,Llama-4-Maverick-17B-128E-Instruct-FP8,0.8428571428571429,350
ro,Llama-4-Scout-17B-16E-Instruct,0.7285714285714285,350
ro,Mistral-Small-24B-Instruct-2501,0.5828571428571429,350
ro,Qwen2.5-7B-Instruct-Turbo,0.68,350
ro,Qwen3-235B-A22B-Instruct-2507-tput,0.7657142857142857,350
ro,exaone-3-5-32b-instruct,0.9685714285714285,350
ro,gemma-3n-E4B-it,0.7428571428571429,350
ro,gpt-oss-20b,0.7275362318840579,345
ro,virtuoso-large,0.9,350
ru,DeepSeek-R1,0.8153846153846154,325
ru,DeepSeek-V3.1,0.76,350
ru,Kimi-K2-Instruct,0.8685714285714285,350
ru,Llama-3.3-70B-Instruct-Turbo,0.6142857142857143,350
ru,Llama-4-Maverick-17B-128E-Instruct-FP8,0.8428571428571429,350
ru,Llama-4-Scout-17B-16E-Instruct,0.8571428571428571,350
ru,Mistral-Small-24B-Instruct-2501,0.5855072463768116,345
ru,Qwen2.5-7B-Instruct-Turbo,0.8571428571428571,350
ru,Qwen3-235B-A22B-Instruct-2507-tput,0.8714285714285714,350
ru,exaone-3-5-32b-instruct,0.7742857142857142,350
ru,gemma-3n-E4B-it,0.8542857142857143,350
ru,gpt-oss-20b,0.6695652173913044,345
ru,virtuoso-large,0.9142857142857143,350
